Serial Number,Document Type,Year,Title,Abstract,Authors,Source,GPT Primary,GPT Primary Desc,GPT Secondary,GPT Tertiary,GPT Reasoning,Claude Primary,Claude Primary Desc,Claude Secondary,Claude Tertiary,Claude Reasoning
P1588,paper,2014,Laser target evaporation Fe2O3 nanoparticles for water-based ferrofluids for biomedical applications,"Maghemite spherical magnetic nanoparticles (MNPs) were prepared by laser target evaporation. X-ray diffraction, transmission electron microscopy, specific surface area, and dynamic light scattering studies were performed. For water-based suspensions prepared on the basis of obtained MNPs, the zeta potential was measured. Magnetic and microwave measurements were performed both for MNPs and ferrofluids. To estimate the inductive magnetic heating of electrostatically self-stabilized or electrostatically stabilized by adsorbed citrate ions ferrofluids, magneto-inductive heating experiments were performed that showed heating efficiency. For the study of cytotoxicity and maghemite MNPs accumulation process, two non-pathogenic Exophiala nigrum (black) and its mutant strain (red) yeasts were studied. In both cases, no significant alterations of cell morphology were observed. © 1965-2012 IEEE.","[""Novoselova J.P.; Safronov A.P.; Samatov O.M.; Beketov I.V.; Khurshid H.; Nemati Z.; Srikanth H.; Denisova T.P.; Andrade R.; Kurlyandskaya G.V.""]",IEEE Transactions on Magnetics,14,Material > Evaluation / Characterization,13,40,"The abstract primarily focuses on the characterization of maghemite MNPs and ferrofluids through various techniques such as X-ray diffraction, electron microscopy, and zeta potential measurements, which aligns with code 14 (Evaluation / Characterization). The secondary focus is on the properties of the MNPs and ferrofluids, including magnetic and microwave measurements, fitting code 13 (Properties). The tertiary aspect involves the study of cytotoxicity and accumulation in yeasts, which relates to medical applications, specifically hyperthermia and drug delivery, aligning with code 40 (Medical).",40,"Application > Medical (Hyperthermia, Cancer, Drug Delivery)",14,38,"Primary 40 (Medical - Hyperthermia, Cancer, Drug Delivery) because the abstract focuses on magneto-inductive heating for medical applications and cytotoxicity studies with yeast cells. Secondary 14 (Evaluation/Characterization) due to extensive characterization methods including XRD, TEM, DLS, zeta potential, and magnetic measurements. Tertiary 38 (Using principles of magnetic induction) because the heating efficiency experiments specifically utilize magnetic induction principles for the heating application."
P1603,paper,2014,Measurement of bottom velocities and shear stresses by ferrofluids at the sea bottom,"A novel direct measurement strategy of bottom velocities and shear stresses based on the use of ferrofluids is presented. The proposed methodology is aimed at overcoming some of the limits of state-of-the-Art instruments, for use in presence of both surface waves and sediments. An inductive readout strategy is proposed along with experimental results which indicate the applicability of the proposed strategy. © 2014 IEEE.","[""And\u00f2 B.; Baglio S.; Marletta V.; Foti E.; Musumeci R.E.""]",Conference Record - IEEE Instrumentation and Measurement Technology Conference,38,Application > Using principles of magnetic induction,49,14,"The abstract describes a novel measurement strategy using ferrofluids that involves an inductive readout strategy, which aligns with the use of magnetic induction principles (38). The mention of overcoming limits of state-of-the-art instruments and the context of surface waves and sediments suggests an application in environmental or engineering instruments (49). The experimental results indicating applicability suggest some level of evaluation or characterization of the methodology (14).",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",38,45,"Primary 49: The abstract describes development of instruments to measure bottom velocities and shear stresses using ferrofluids, fitting 'Instruments to evaluate FF' and engineering applications. Secondary 38: The methodology uses 'inductive readout strategy' which directly relates to magnetic induction principles. Tertiary 45: The application involves measuring flow velocities in fluid environments with surface waves and sediments."
P1604,paper,2014,Tunable optical and magneto-optical properties of ferrofluid in the terahertz regime,"The dielectric property and magneto-optical effects of ferrofluids have been investigated in the terahertz (THz) regime by using THz timedomain spectroscopy. The experiment results show that the refractive index and absorption coefficient of ferrofluid for THz waves rise up with the increase of nanoparticle concentration in the ferrofluid. Moreover, two different THz magneto-optical effects have been found with different external magnetic fields, of which mechanisms have been theoretically explained well by microscopic structure induced refractive index change in the magnetization process and the transverse magneto-optical effect after the saturation magnetization, respectively. This work suggests that ferrofluid is a promising magneto-optical material in the THz regime which has widely potential applications in THz functional devices for THz sensing, modulation, phase retardation, and polarization control.© 2014 Optical Society of America.","[""Chen S.; Fan F.; Chang S.; Miao Y.; Chen M.; Li J.; Wang X.; Lin L.""]",Optics Express,13,Material > Properties,14,24,"The abstract primarily discusses the properties of ferrofluids, specifically their dielectric and magneto-optical properties in the THz regime, which aligns with code 13 (Properties). The secondary focus is on the evaluation and characterization of these properties using THz time-domain spectroscopy, fitting code 14 (Evaluation / Characterization). The tertiary aspect involves theoretical explanations of the observed effects, which relates to code 24 (Modelling, specifically Magneto-optical).",14,Material > Evaluation / Characterization,13,49,"Primary (14): The abstract describes experimental characterization of ferrofluid dielectric properties and magneto-optical effects using THz time-domain spectroscopy, which is evaluation/characterization. Secondary (13): The work investigates fundamental properties like refractive index and absorption coefficient. Tertiary (49): The research focuses on THz functional devices and instruments for sensing, modulation, and polarization control applications."
P1607,paper,2014,The influence of hydrodynamic diameter and core composition on the magnetoviscous effect of biocompatible ferrofluids,"Suspensions of magnetic nanoparticles have received increasing interest in the biomedical field. While these ferrofluids are already used for magnetic resonance imaging, emerging research on cancer treatment focuses, for example, on employing the particles as drug carriers, or using them in magnetic hyperthermia to destroy diseased cells by heating of the particles. To enable safe and effective applications, an understanding of the flow behaviour of the ferrofluids is essential. Regarding the applications mentioned above, in which flow phenomena play an important role, viscosity under the influence of an external magnetic field is of special interest. In this respect, the magnetoviscous effect (MVE) leading to an increasing viscosity if an external magnetic field of a certain strength is applied, is well-known for singlecore ferrofluids used in the engineering context. In the biomedical context, multicore ferrofluids are preferred in order to avoid remanence magnetization and to enable a deposition of the particles by the organism without complications. This study focuses on a comparison of the MVE for three ferrofluids whose composition is identical except in relation to their hydrodynamic diameter and core composition - one of the fluids contains singlecore particles, while the other two feature multicore particles. This enables confident conclusions about the influence of those parameters on flow behaviour under the influence of a magnetic field. The strong effects found for two of the fluids should be taken into account, both in future investigations and in the potential use of such ferrofluids, as well as in manufacturing, in relation to the optimization of flow behaviour. © 2014 IOP Publishing Ltd.","[""Nowak J.; Wiekhorst F.; Trahms L.; Odenbach S.""]",Journal of Physics Condensed Matter,40,"Application > Medical (Hyperthermia, Cancer, Drug Delivery)",13,45,"The primary focus of the abstract is on the biomedical applications of ferrofluids, specifically in cancer treatment and drug delivery, which aligns with code 40 (Medical - Hyperthermia, Cancer, Drug Delivery). The secondary focus is on the properties of ferrofluids, particularly the magnetoviscous effect and its impact on viscosity, which corresponds to code 13 (Properties). The tertiary focus is on the flow behavior of ferrofluids under the influence of a magnetic field, relevant to code 45 (Flow).",42,Application > Biomedical,13,14,"Primary 42 (Biomedical) because the abstract focuses on ferrofluids for biomedical applications including MRI, drug delivery, and magnetic hyperthermia for cancer treatment. Secondary 13 (Properties) because the study investigates viscosity properties and magnetoviscous effect under magnetic fields. Tertiary 14 (Evaluation/Characterization) because the research compares three ferrofluids with different compositions to characterize their flow behavior parameters."
P1608,paper,2014,Thermodiffusion in concentrated ferrofluids: Experimental and numerical results on magnetic thermodiffusion,"Ferrofluids consist ofmagnetic nanoparticles dispersed in a carrier liquid. Their strong thermodiffusive behaviour, characterised by the Soret coefficient, coupled with the dependency of the fluid's parameters on magnetic fields is dealt with in this work. It is known from former experimental investigations on the one hand that the Soret coefficient itself is magnetic field dependent and on the other hand that the accuracy of the coefficient's experimental determination highly depends on the volume concentration of the fluid. The thermally driven separation of particles and carrier liquid is carried out with a concentrated ferrofluid (φ = 0.087) in a horizontal thermodiffusion cell and is compared to equally detected former measurement data. The temperature gradient (1 K/mm) is applied perpendicular to the separation layer. The magnetic field is either applied parallel or perpendicular to the temperature difference. For three different magnetic field strengths (40 kA/m, 100 kA/m, 320 kA/m) the diffusive separation is detected. It reveals a sign change of the Soret coefficient with rising field strength for both field directions which stands for a change in the direction of motion of the particles. This behaviour contradicts former experimental results with a dilute magnetic fluid, in which a change in the coefficient's sign could only be detected for the parallel setup. An anisotropic behaviour in the current data is measured referring to the intensity of the separation being more intense in the perpendicular position of the magnetic field: ST{norm of matrix} =-0.152 K-1 and ST⊥=-0.257 K-1 at H = 320 kA/m. The ferrofluiddynamics-theory (FFD-theory) describes the thermodiffusive processes thermodynamically and a numerical simulation of the fluid's separation depending on the two transport parameters ξ{norm of matrix} and ξ{norm of matrix} used within the FFD-theory can be implemented. In the case of a parallel aligned magnetic field, the parameter can be determined to ξ{norm of matrix} = {2.8; 9.1; 11.2}×10-11. D{norm of matrix} kg/(A2m) for the different field strengths and in dependence on the magnetic diffusion coefficient D{norm of matrix}. An adequate fit in the perpendicular case is not possible, by ξ⊥= 1×10-17 kg/(Am2) a rather good agreement between numerical and experimental data can be found for a field strength of 40 kA/m, a change in the coefficient's sign in the perpendicular setup is not numerically determinable via this theory. The FFD-theory is only partly applicable to calculate the concentration profile in concentrated magnetic fluids established due to a temperature gradient and magnetic field applied. © 2014 AIP Publishing LLC.","[""Sprenger L.; Lange A.; Odenbach S.""]",Physics of Fluids,13,Material > Properties,24,14,"The primary focus of the abstract is on the properties of ferrofluids, specifically the Soret coefficient and its dependency on magnetic fields, which aligns with code 13 (Properties). The secondary focus involves the use of numerical simulations and theoretical modeling to describe the thermodiffusive processes, fitting code 24 (Modelling). The tertiary aspect involves the experimental characterization of the ferrofluid's behavior under different conditions, which corresponds to code 14 (Evaluation / Characterization).",37,Experimentation > Other than evaluation indicated in class 14,26,24,"Primary 37: This is clearly experimental research involving thermodiffusion measurements in ferrofluids under magnetic fields, which falls under experimentation other than basic evaluation. Secondary 26: The work focuses extensively on heat transfer phenomena, specifically thermodiffusive behavior and temperature gradients. Tertiary 24: The study includes numerical modeling using FFD-theory to simulate fluid separation and determine transport parameters."
P1611,paper,2014,Influence of magnetic field on dielectric breakdown in transformer oil based ferrofluids,"In this paper the experimental study of the breakdown field strength in a transformer oil based ferrofluid is reported. The experiments are conducted on five ferrofluid samples with different magnetic volume fraction. The influence of external magnetic field on the breakdown field strength is investigated, when a quasi-homogenous magnetic field was applied in parallel and perpendicular configuration in regard to the electric field. The obtained results are analysed in accordance to the electron charging of ferrofluid nanoparticles theory.","[""Raj\u0148\u00e1ka M.; Kurimsk\u00fd J.; Doln\u00edk B.; Marton K.; Tom\u010do L.; Mol\u010dan M.; Kop\u010dansk\u00fd P.; Timko M.""]",Acta Physica Polonica A,13,Material > Properties,14,37,"The abstract focuses on the properties of ferrofluids, specifically the breakdown field strength, which aligns with code 13. The study involves experimental analysis and characterization of these properties, which corresponds to code 14. Additionally, the experimentation aspect that is not strictly evaluation or characterization is captured by code 37.",14,Material > Evaluation / Characterization,13,37,"Primary 14 (Evaluation/Characterization) because the study experimentally evaluates breakdown field strength properties of ferrofluid samples. Secondary 13 (Properties) as the research focuses on electrical breakdown properties under magnetic field influence. Tertiary 37 (Other experimentation) since this involves experimental investigation beyond basic material evaluation, specifically studying the relationship between magnetic field orientation and electrical breakdown behavior."
P1613,paper,2014,Magnetic impedance of structured film meanders in the presence of magnetic micro- and nanoparticles,"The magnetic impedance (MI) of film elements in the form of meanders with a [Fe19Ni81]/Cu]4/Fe19Ni81/Cu/[Fe19Ni81/Cu]4/Fe19Ni81 layered structure and variable geometry is studied. For the best meanders (having a maximal MI of up to 125% and an MI maximal sensitivity of about 30%/Oe), the influence of stray magnetic fields is determined. The stray fields are produced by spherical iron particles 500 μm in diameter and ferrofluids containing iron oxide nanoparticles. The feasibility of detecting intricately configured stray fields from a set of ferromagnetic spheres arranged on the surface of an MI element is demonstrated. The sensitivity of film meander MI elements to nonuniform external magnetic fields is simulated. The results of this work may be helpful in developing special-purpose magnetic sensors intended for micropositioning, nondestructive testing, and biomagnetic detection. © 2014 Pleiades Publishing, Ltd.","[""Yuvchenko A.A.; Lepalovskii V.N.; Vas'kovskii V.O.; Safronov A.P.; Volchkov S.O.; Kurlyandskaya G.V.""]",Technical Physics,14,Material > Evaluation / Characterization,38,42,"The abstract primarily focuses on the evaluation and characterization of magnetic impedance in film elements, which aligns with code 14. The study involves detecting stray magnetic fields, which relates to the principles of magnetic induction, making code 38 relevant. Additionally, the potential application in biomagnetic detection suggests a connection to biomedical applications, justifying code 42 as tertiary.",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",38,14,"Primary 49: The abstract describes development of magnetic sensors for micropositioning, nondestructive testing, and biomagnetic detection - fitting 'Instruments to evaluate FF' and engineering applications. Secondary 38: The work involves magnetic impedance elements detecting stray magnetic fields from ferrofluids, using magnetic induction principles. Tertiary 14: The study characterizes and evaluates the performance of film meander elements with ferrofluids, measuring sensitivity and magnetic impedance properties."
P1614,paper,2014,"PDMS-based, magnetically actuated variable optical attenuators obtained by soft lithography and inkjet printing technologies","This paper reports and compares the implementation of magnetic variable optical attenuators (M-VOA) by two fabrication strategies. In the first case, a two-layer structure containing a non-doped polydimethylsiloxane (PDMS) layer on a magnetic PDMS (M-PDMS) layer is fabricated by soft lithography (SLT). M-PDMS is obtained by doping PDMS with different ferrofluid (FF) volumes. The second technology consists of selectively dispense FF microdroplets using the inkjet printing technique (IJP) on a non-doped, non-cured PDMS structure, previously defined by SLT. In this second case, FF volumes are encapsulated inside the polymer matrix. The optical and mechanical properties of structures fabricated using both strategies and containing similar ferrofluid amounts are compared. © 2014 Elsevier B.V. All rights reserved.","[""De Pedro S.; Cadarso V.J.; Mu\u00f1oz-Berbel X.; Plaza J.A.; Sort J.; Brugger J.; B\u00fcttgenbach S.; Llobera A.""]","Sensors and Actuators, A: Physical",15,"Material > Manipulation, Droplets, other",13,14,"The abstract primarily discusses the manipulation and fabrication of structures using ferrofluid, which aligns with code 15 (Manipulation, Droplets, other). The comparison of optical and mechanical properties of the fabricated structures suggests an emphasis on properties, aligning with code 13 (Properties). The evaluation and characterization of these properties and structures are also significant, aligning with code 14 (Evaluation / Characterization).",49,"Application > Digital Micro Fluids, Damping, Physics, Environmental, Engineering, Instruments to evaluate FF",37,15,"Primary 49: The research focuses on magnetic variable optical attenuators (M-VOA), which are optical instruments/devices using ferrofluid principles. Secondary 37: The paper involves experimental work comparing two fabrication strategies and their optical/mechanical properties, which is experimentation beyond basic evaluation. Tertiary 15: The work involves manipulation of ferrofluid through inkjet printing to create microdroplets and incorporation into polymer matrices."
P1617,paper,2014,Polarized light transmission in ferrofluids loaded with carbon nanotubes in the presence of a uniform magnetic field,"Magneto-optic phenomena in ferrofluids have been shown to be related to the formation of chain structures, due to the arrangement of the ferromagnetic particles, induced by an applied magnetic field. In this work, the effects on transmission of polarized light due to anisotropic effects induced by an external magnetic field in ferrofluids with carbon nanotubes are studied. The time response of the system presents two well defined stages, in the first one, which is very short, the fluid behaves as a polarizer. In contrast in the second stage, the effects of light transmission dominate. In this stage the transmitted light intensity grows with time and after a long time reaches a constant stable value. It is shown that these phenomena depend on the carbon nanotubes concentration as well as on the strength of the applied magnetic field. Using a simple model that considers a chain-like structure formation, it is possible to determine the rate of agglomeration of the formed structures and the attenuation coefficient of the transmitted light. The formation of nanostructures leads to variation in the transmitted light, depending on the polarization of the incident light. These magnetic nanostructures can find numerous applications in nanotechnology, optical devices and medicine. © 2014 Elsevier B.V.","[""Vales-Pinz\u00f3n C.; Alvarado-Gil J.J.; Medina-Esquivel R.; Mart\u00ednez-Torres P.""]",Journal of Magnetism and Magnetic Materials,24,"Computation > Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)",13,14,"The abstract primarily discusses the modeling of magneto-optic phenomena in ferrofluids, specifically focusing on the formation of chain structures and their effects on light transmission, which aligns with 'Modelling (ODE, Boundary value, Two-phase, Lifting force, Magneto-optical, Dipole, Strain Energy, Susceptibility)' (code 24). The study also involves understanding the properties of ferrofluids with carbon nanotubes, which relates to 'Properties' (code 13). Additionally, the work involves characterizing the effects of magnetic fields on light transmission, fitting 'Evaluation / Characterization' (code 14).",37,Experimentation > Other than evaluation indicated in class 14,24,49,Primary 37: This is experimental research studying magneto-optic phenomena and light transmission effects in ferrofluids with carbon nanotubes under magnetic fields. Secondary 24: The work involves magneto-optical modeling to determine agglomeration rates and attenuation coefficients using chain-like structure formation models. Tertiary 49: The research focuses on optical instruments/physics applications and mentions potential uses in optical devices and nanotechnology.
P1618,paper,2014,Natural convection of ferrofluids in partially heated square enclosures,"In this study, natural convection of ferrofluid in a partially heated square cavity is numerically investigated. The heater is located to the left vertical wall and the right vertical wall is kept at constant temperature lower than that of the heater. Other walls of the square enclosure are assumed to be adiabatic. Finite element method is utilized to solve the governing equations. The influence of the Rayleigh number (104≤Ra≤5×10 5), heater location (0.25H≤yh≤0.75H), strength of the magnetic dipole (0≤γ≤2), horizontal and vertical location of the magnetic dipole (-2H≤a≤-0.5H, 0.2H≤b≤0.8H) on the fluid flow and heat transfer characteristics are investigated. It is observed that different velocity components within the square cavity are sensitive to the magnetic dipole source strength and its position. The length and size of the recirculation zones adjacent to the heater can be controlled with magnetic dipole strength. Averaged heat transfer increases with decreasing values of horizontal position of the magnetic dipole source. Averaged heat transfer value increases from middle towards both ends of the vertical wall when the vertical location of the dipole source is varied. When the heater location is changed, a symmetrical behavior in the averaged heat transfer plot is observed and the minimum value of the averaged heat transfer is attained when the heater is located at the mid of vertical wall. © 2014 Elsevier B.V.","[""Selimefendigil F.; \u00d6ztop H.F.; Al-Salem K.""]",Journal of Magnetism and Magnetic Materials,22,Computation > CFD,26,46,"The study focuses on the numerical investigation of ferrofluid flow using computational fluid dynamics (CFD), which is best represented by code 22. The investigation involves heat transfer characteristics, making code 26 relevant as the secondary classification. The application of heat transfer principles in the context of ferrofluids justifies code 46 as the tertiary classification.",46,Application > Heat transfer,22,25,The abstract focuses on heat transfer characteristics of ferrofluid in a heated cavity (primary: 46 Heat transfer). The study uses numerical investigation with finite element method for fluid dynamics simulation (secondary: 22 CFD). The research also examines fluid flow patterns and velocity components under magnetic influence (tertiary: 25 Flow).
P1621,paper,2014,A comparative study of the tribological performance of ferrofluids and magnetorheological fluids within steel-steel point contacts,"The lubricating properties of two different magnetic colloids were evaluated both in the absence and presence of external magnetic fields under sliding friction using the ball-on-three-plates geometry and stainless steel-steel point contacts. Specifically, the magnetic colloids studied were commercially-available ferrofluids (i.e., low concentration dispersions of nanosized magnetic particles) and magnetorheological fluids (i.e., high concentration dispersions of microsized magnetic particles). To evaluate the wear damage, the wear scar on the steel plates was examined by optical microscopy and scanning electron microscopy. Experimental results demonstrate a clearly lower friction coefficient and wear damage under lubrication with the ferrofluid, indicating that the effect of particle concentration in the magnetic dispersions dominate over that of particle size. © 2014 Elsevier Ltd.","[""Shahrivar K.; Ortiz A.L.; De Vicente J.""]",Tribology International,14,Material > Evaluation / Characterization,47,13,"The abstract primarily focuses on the evaluation and characterization of the lubricating properties of magnetic colloids, which aligns with code 14. The application of these colloids as lubricants under sliding friction conditions suggests relevance to code 47. The discussion of friction coefficient and wear damage relates to the properties of the materials, justifying code 13 as tertiary.",47,"Application > Bearing, Seal, Lubricant",14,37,"Primary 47 (Bearing, Seal, Lubricant) because the abstract focuses on evaluating lubricating properties of magnetic colloids under sliding friction. Secondary 14 (Evaluation/Characterization) as the study systematically evaluates and characterizes the performance of two different magnetic fluid types. Tertiary 37 (Other than evaluation indicated in class 14) because this involves experimental tribological testing beyond basic material characterization."
P1623,paper,2014,Fabrication of hollow spheres FeCo alloy through a hydrothermal reduction method,"Hollow spheres like FeCo alloy were synthesized by a hydrothermal method without using any templates or external magnetic field. The morphology and size of final products strongly depend on the reaction temperature and hydrazine hydrate concentrations. The structures and shapes of as-prepared samples were investigated by XRD, SEM, and EDS techniques in detail. The formation of such novel FeCo alloy was discussed on the basis of controlled experiments. The magnetic measurement demonstrated that the hollow spheres FeCo alloy exhibited ferromagnetic nature with saturation magnetization of 169.35 emu/g and coercivity of 528.5 Oe, respectively. Moreover, the FeCo alloy shows high wave-absorbing properties (e.g., -18.3 dB), which are expected to be applied in microwave absorbing materials. Those results showed a potential application in ferrofluids and other related magnetic devices. © 2014 Elsevier B.V.","[""Yan Q.; Li S.; Pang E.; Wang Y.""]",Materials Letters,13,Material > Properties,14,38,"The abstract primarily focuses on the properties of the FeCo alloy, specifically its ferromagnetic nature and wave-absorbing properties, which aligns with code 13 (Properties). The detailed investigation using XRD, SEM, and EDS techniques suggests a focus on characterization, aligning with code 14 (Evaluation / Characterization). The mention of potential applications in microwave absorbing materials, which involve magnetic induction principles, aligns with code 38 (Using principles of magnetic induction).",11,Material > Chemistry,14,13,"Primary (11): The abstract focuses on synthesis of FeCo alloy hollow spheres using hydrothermal method, which is fundamentally chemistry. Secondary (14): Extensive characterization using XRD, SEM, EDS techniques and magnetic measurements for evaluation. Tertiary (13): Discussion of magnetic properties (saturation magnetization, coercivity) and wave-absorbing properties of the synthesized material."
P1626,paper,2014,Preparation and magnetic properties of single phase Ni2Si by reverse Rochow reaction,"Single phase Ni2Si nanoparticles (NPs) have been successfully synthesized by using the Rochow reverse reaction, in which organosilanes ((CH3)nSiCl4-n) are used as the silicon source. The results demonstrate that the crystalline size and phase of nickel silicide can be controlled through changing the organosilanes and reaction time. A formation mechanism of Ni2Si NPs has been proposed, which involved reaction deposition and subsequently diffusion of Si atoms. Magnetism performance tests indicate that the saturation magnetization and coercive field of Ni2Si NPs depend greatly on the environmental temperature and particle size. The blocking temperature (TB) of the materials was found to strongly depend on selecting the organosilanes precursor: in the case of the Ni2Si-0 (148 K) and Ni2Si-2 (336 K). This novel methodology opens a route to prepare other classes of metal silicides with single phase and stoichiometry. The as-prepared single phase Ni2Si nanoparticles can find applications in ferrofluids, imaging, and magnetic separation due to its special magnetic behavior depending on the applied temperature (below or above TB). © The Royal Society of Chemistry 2014.","[""Chen X.; Guan J.; Sha G.; Gao Z.; Williams C.T.; Liang C.""]",RSC Advances,13,Material > Properties,14,38,"The abstract primarily discusses the properties of Ni2Si nanoparticles, particularly their magnetic properties and how these depend on temperature and particle size, which aligns with code 13 (Properties). The synthesis and characterization of these nanoparticles, including their crystalline size and phase, suggest a secondary focus on evaluation and characterization, aligning with code 14 (Evaluation / Characterization). The mention of potential applications in ferrofluids and magnetic separation, which rely on magnetic properties, suggests a tertiary connection to the principles of magnetic induction, aligning with code 38 (Using principles of magnetic induction).",11,Material > Chemistry,13,49,"Primary (11): The abstract focuses heavily on the synthesis chemistry of Ni2Si nanoparticles using organosilanes and the Rochow reverse reaction. Secondary (13): Significant discussion of magnetic properties including saturation magnetization, coercive field, and blocking temperature. Tertiary (49): The abstract explicitly mentions applications in ferrofluids, imaging, and magnetic separation as potential uses for the synthesized nanoparticles."
P1627,paper,2014,Synthesis and characterization of chromium substituted aqueous ferrofluid,"Chromium substituted aqueous magnetite ferrofluids with different concentrations of chromium were synthesized by co-precipitation method. Tetramethylammoniumhydroxide (TMAOH) was used as the surfactant. The synthesized samples were characterized by XRD. The X- ray diffraction analysis showed inverse spinel structure of the samples with crystalline size ranging from 11nm to 22nm. Magnetic measurements were done by employing Vibrating Sample Magnetometer (VSM). Saturation magnetizations of the samples were found decreasing with increase in concentration of chromium which is due to the cation redistribution. Chromium ferrite possess a normal like spinel cubic structure in which chromium ions occupies the octahedral sites which enhances antiferromagnetism and ferrimagnetism gets lowered. © 2015, Sphinx Knowledge House. All rights reserved.","[""Sona O.T.; Babukutty B.; Nair S.; Aravind P.B.""]",International Journal of ChemTech Research,14,Material > Evaluation / Characterization,13,11,"The abstract primarily focuses on the characterization of chromium substituted aqueous magnetite ferrofluids using X-ray diffraction and magnetic measurements, which aligns with code 14 (Evaluation / Characterization). The discussion of the crystalline size and magnetic properties such as saturation magnetization relates to code 13 (Properties). The synthesis process involving chromium substitution and the use of a surfactant is relevant to code 11 (Chemistry).",12,Material > Formulation,14,13,"Primary (12): The abstract focuses on synthesis of chromium substituted magnetite ferrofluids using co-precipitation method with TMAOH surfactant, which is clearly formulation. Secondary (14): Extensive characterization using XRD and VSM for structural and magnetic analysis. Tertiary (13): Discussion of magnetic properties (saturation magnetization) and how they change with chromium concentration relates to material properties."
P1628,paper,2014,Transient optical phenomenon in ferrofluids,"In this paper, we report the experimental observation of diffraction patterns in a ferrofluid comprising of Fe3O4 nanoparticles in hexane by a 10 mW He-Ne laser beam. An external dc magnetic field (~1.7 kG) was applied perpendicular to the beam. Transient phenomenon in diffraction patterns is studied with and without magnetic field. Diffraction patterns showed a variation in both zero and applied magnetic field. This provides some information of non-linear optical properties and magneto-optical effects. Laser beam passed through a sample establishes refractive index gradient modifying the original Gaussian beam of the laser. Analysis of transient diffraction patterns can be used to study the parameters of ferrofluid like viscosity and thermal conductivity. This gives a new insight to understand the dynamics of the magnetic fluid and its potential use for the development of ferrofluid based sensors.","[""Pai C.; Shalini M.; Radha S.""]",Procedia Engineering,14,Material > Evaluation / Characterization,13,46,"The abstract primarily focuses on the evaluation and characterization of ferrofluid properties through the observation of diffraction patterns, which aligns with code 14. The study of non-linear optical properties and magneto-optical effects relates to the properties of the ferrofluid, justifying code 13 as secondary. The mention of thermal conductivity and its potential use in sensor development suggests relevance to heat transfer, supporting code 46 as tertiary.",37,Experimentation > Other than evaluation indicated in class 14,13,49,"Primary 37: This is clearly experimental work involving laser diffraction studies on ferrofluid under magnetic fields, which falls under experimentation other than basic evaluation. Secondary 13: The study investigates non-linear optical and magneto-optical properties of the ferrofluid, which relates to material properties characterization. Tertiary 49: The work explores potential sensor applications and provides insights into ferrofluid dynamics, fitting the instruments/physics category."
P1630,paper,2014,Diffraction patterns in ferrofluids: Effect of magnetic field and gravity,"In this paper, we report the experimental observation of diffraction patterns in a ferrofluid comprising of Fe3O4 nanoparticles in hexane by a 10 mW He-Ne laser beam. An external dc magnetic field (0-2 kG) was applied perpendicular to the beam. The diffraction pattern showed a variation at different depths of the sample in both zero and applied magnetic field. The patterns also exhibit a change in shape and size as the external field is varied. This effect arises due to thermally induced self-diffraction under the influence of gravity and external magnetic field. © 2014 Elsevier B.V.","[""Radha S.; Mohan S.; Pai C.""]",Physica B: Condensed Matter,14,Material > Evaluation / Characterization,13,37,"The abstract primarily focuses on the experimental observation and characterization of diffraction patterns in a ferrofluid, which aligns with 'Evaluation / Characterization' (14). The study involves understanding the properties of the ferrofluid under different magnetic fields, which relates to 'Properties' (13). The experimentation aspect of observing diffraction patterns under varying conditions fits under 'Other than evaluation indicated in class 14' (37).",37,Experimentation > Other than evaluation indicated in class 14,14,49,"Primary 37: This is clearly experimental work involving laser diffraction observations on ferrofluid under magnetic fields, which falls under experimentation other than basic evaluation. Secondary 14: The work involves characterization of ferrofluid optical properties through diffraction pattern analysis. Tertiary 49: The study relates to physics principles and could be considered instrumental evaluation of ferrofluid behavior, fitting the physics/instruments category."
